Year,Country,Origin,HS_Code,Description,Weight_kg,Value_USD
2020,,,210390,,180508.218,467926.671
2020,,,210390,,2178379.406,7201328.482
2020,,,210390,,6953.029,30102.123
2020,,,210390,,4.247,18.282
2020,,,210390,,7084.406,33095.881
2020,,,210390,,253.329,5330.489
2020,,,210390,,10346.117,41425.842
2020,,,210390,,4902.406,6998.766
2020,,,210390,,29.494,203.393
2020,,,210390,,789.531,7565.524
2020,,,210390,,1864.367,19388.583
2020,,,210390,,35873.464,108084.95
2020,,,210390,,23436.623,54125.318
2020,,,210390,,160171.812,1019307.204
2020,,,210390,,27381.406,29603.925
2020,,,210390,,6982.406,6090.355
2020,,,210390,,57499.406,249886.243
2020,,,210390,,48.406,281.093
2020,,,210390,,7268.87,40821.377
2020,,,210390,,607.653,4817.437
2020,,,210390,,3.029,18.282
2020,,,210390,,14107.406,46042.171
2020,,,210390,,3580.494,15413.283
2020,,,210390,,1.406,10.284
2020,,,210390,,12687.647,40893.364
2020,,,210390,,42.367,297.09
2020,,,200190,,1109.204,6298.318
2020,,,200190,,9778.084,48614.289
2020,,,200190,,106.379,189.681
2020,,,200190,,3771.662,17935.125
2020,,,200190,,29.641,132.548
2020,,,200190,,17.641,18.282
2020,,,200190,,7.049,12.569
2020,,,200190,,3031102.662,4782918.154
2020,,,200190,,5.282,75.415
2020,,,200190,,21588.486,136671.912
2020,,,200190,,407.253,2578.974
2020,,,210390,,7268.87,40821.377
2020,,,210390,,57499.406,249886.243
2020,,,210390,,53.263,425.068
2020,,,210390,,791892.075,2403535.235
2020,,,210390,,23436.623,54125.318
2020,,,210390,,3.029,18.282
2020,,,210390,,4902.406,6998.766
2020,,,210390,,14107.406,46042.171
2020,,,210390,,180508.218,467926.671
2020,,,210390,,2178379.406,7201328.482
2020,,,210390,,607.653,4817.437
2020,,,210390,,4.247,18.282
2020,,,210390,,29.494,203.393
2020,,,210390,,1.406,10.284
2020,,,210390,,7084.406,33095.881
2020,,,210390,,48.406,281.093
2020,,,210390,,12687.647,40893.364
2020,,,210390,,240.406,519.908
2020,,,210390,,27381.406,29603.925
2020,,,210390,,789.531,7565.524
2020,,,210390,,1864.367,19388.583
2020,,,210390,,3580.494,15413.283
2020,,,210390,,37929.857,1546153.776
2020,,,210390,,42.367,297.09
2020,,,210390,,10346.117,41425.842
2020,,,210390,,6953.029,30102.123
2020,,,210390,,35873.464,108084.95
2020,,,210390,,3435.828,15966.329
2020,,,210390,,38945.302,95171.797
2020,,,210390,,139333.435,306843.062
2020,,,210390,,253.329,5330.489
2020,,,210390,,6982.406,6090.355
2020,,,210390,,160171.812,1019307.204
2020,,,210390,,6.812,82.271
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,210390,,17.812,92.555
2020,,,210390,,7.406,67.417
2020,,,210390,,17.812,92.555
2020,,,210390,,7.406,67.417
2020,,,210390,,808.808,4558.054
2020,,,210390,,7.406,67.417
2020,,,210390,,808.808,4558.054
2020,,,210390,,808.808,4558.054
2020,,,210390,,17.812,92.555
2020,,,210390,,808.808,4558.054
2020,,,210390,,17.812,92.555
2020,,,210390,,7.406,67.417
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,200190,,0.641,1.143
2020,,,210390,,37.335,597.609
2020,,,210390,,565.218,6930.207
2020,,,210390,,565.218,6930.207
2020,,,210390,,565.218,6930.207
2020,,,210390,,37.335,597.609
2020,,,210390,,565.218,6930.207
2020,,,210390,,37.335,597.609
2020,,,210390,,37.335,597.609
2020,,,210390,,17393.744,42619.917
2020,,,210390,,17393.744,42619.917
2020,,,210390,,5402.0,25217.27
2020,,,210390,,5402.0,25217.27
2020,,,200190,,9.127,86.842
2020,,,200190,,9.127,86.842
2020,,,200190,,2997.662,8579.059
2020,,,200190,,2.923,25.138
2020,,,200190,,2.923,25.138
2020,,,200190,,2997.662,8579.059
2020,,,210390,,20.857,137.119
2020,,,210390,,20.857,137.119
2020,,,210390,,34.075,1212.358
2020,,,210390,,15.393,66.274
2020,,,210390,,34.075,1212.358
2020,,,210390,,15.393,66.274
2020,,,200190,,603.253,4846.003
2020,,,200190,,14622.084,64528.056
2020,,,200190,,11229086.379,30384661.852
2020,,,200190,,1109.204,6298.318
2020,,,210390,,337365.329,1082818.296
2020,,,210390,,67216.581,359712.601
2020,,,210390,,2730972.14,8955750.694
2020,,,210390,,2086.799,5056.252
2020,,,210390,,74.364,522.194
2020,,,210390,,930597.581,3156255.139
2020,,,210390,,930513.029,3350529.47
2020,,,210390,,60969.026,485185.343
2020,,,210390,,439901.367,2037196.373
2020,,,210390,,33210113.367,122226335.346
2020,,,210390,,8648.539,166516.937
2020,,,210390,,5013972.208,9393972.886
2020,,,210390,,3821842.531,7995106.293
2020,,,210390,,18841422.406,32294373.266
2020,,,210390,,37185526.263,84469619.674
2020,,,210390,,45222.302,115129.423
2020,,,210390,,369418.494,1094770.475
2020,,,200190,,11229086.379,30384661.852
2020,,,200190,,603.253,4846.003
2020,,,200190,,14622.084,64528.056
2020,,,200190,,1109.204,6298.318
2020,,,210390,,3821842.531,7995106.293
2020,,,210390,,67216.581,359712.601
2020,,,210390,,930597.581,3156255.139
2020,,,210390,,2730972.14,8955750.694
2020,,,210390,,45222.302,115129.423
2020,,,210390,,74.364,522.194
2020,,,210390,,60969.026,485185.343
2020,,,210390,,37185526.263,84469619.674
2020,,,210390,,8648.539,166516.937
2020,,,210390,,337365.329,1082818.296
2020,,,210390,,18841422.406,32294373.266
2020,,,210390,,33210113.367,122226335.346
2020,,,210390,,439901.367,2037196.373
2020,,,210390,,5013972.208,9393972.886
2020,,,210390,,2086.799,5056.252
2020,,,210390,,369418.494,1094770.475
2020,,,210390,,930513.029,3350529.47
2020,,,200190,,767.204,2790.365
2020,,,200190,,244.176,523.336
2020,,,200190,,7.049,12.569
2020,,,200190,,400.563,860.42
2020,,,200190,,25.641,126.835
2020,,,210390,,18.117,180.54
2020,,,210390,,4.406,62.846
